sku,name_de,name_vi,category,unit,base_price_eur,origin,allergens,notes
TT-SAL-FI-001,Norwegischer Lachsfilet (frisch),Phi-lê cá hồi Na Uy (tươi),Lachs,kg,16.90,Norwegen (Zucht),Fisch,Sushi/Sashimi Grade A
TT-SAL-FI-002,Schottischer Lachs Filet,Phi-lê cá hồi Scotland,Lachs,kg,18.50,Schottland,Fisch,Premium Bio-Qualität
TT-SAL-WH-001,Ganzer Lachs (4-5kg),Cá hồi nguyên con (4-5kg),Lachs,Stück,65.00,Norwegen,Fisch,Für große Events
TT-TUN-LO-003,Yellowfin-Thunfisch Loin (frisch),Cá ngừ vây vàng - thăn (tươi),Thunfisch,kg,24.90,FAO 51/71,Fisch,Sashimi-Qualität Premium
TT-TUN-ST-001,Thunfisch Steaks (200g),Miếng cá ngừ (200g),Thunfisch,200g-Pack,8.90,Pazifik,Fisch,Grill-ready Portionen
TT-TUN-TA-001,Thunfisch Tataki (vormariniert),Cá ngừ Tataki (ướp sẵn),Thunfisch,500g-Pack,22.50,Japan Style,Fisch,Japanische Zubereitung
TT-SHR-BT-02630,Black Tiger Garnelen 26/30 (roh gefroren),Tôm sú 26/30 (đông lạnh),Garnelen,1kg-Beutel,12.90,Asien (Zucht),Krebstiere,IQF für Sushi
TT-SHR-WH-1620,White Shrimps 16/20 (gekocht),Tôm trắng 16/20 (luộc sẵn),Garnelen,1kg-Beutel,15.90,Nordsee,Krebstiere,Cocktail-ready
TT-SHR-KI-U8,King Prawns U/8 (roh),Tôm hoàng gia U/8 (sống),Garnelen,500g-Pack,28.90,Atlantik,Krebstiere,XXL Premium Größe
TT-EEL-UNA-500,Unagi Aal (vorgegart),Lươn Unagi (nấu sẵn),Aal,500g-Pack,18.50,Japan,Fisch,Sushi-fertig mariniert
TT-EEL-SM-250,Räucheraal Filet,Phi-lê lươn hun khói,Aal,250g-Pack,12.90,Deutschland,Fisch,Traditionell geräuchert
TT-SEA-BAS-001,Wolfsbarsch Filet (frisch),Phi-lê cá chẽm (tươi),Wolfsbarsch,kg,22.90,Mittelmeer,Fisch,Premium für Dim Sum
TT-SEA-BRE-001,Dorade Royal Filet,Phi-lê cá tráp vàng,Dorade,kg,19.90,Mittelmeer,Fisch,Mediterrane Qualität
TT-COD-FI-001,Kabeljau Filet (frisch),Phi-lê cá tuyết (tươi),Kabeljau,kg,19.90,Norwegen,Fisch,Für chinesische Küche
TT-COD-LO-001,Kabeljau Loin (premium),Thăn cá tuyết cao cấp,Kabeljau,kg,24.90,Island,Fisch,Sashimi-Qualität
TT-SQD-TUB-250,Tintenfisch Tuben (gefroren),Ống mực (đông lạnh),Tintenfisch,250g-Pack,8.90,Atlantik,Weichtiere,Für Thai-Gerichte
TT-SQD-RIN-500,Tintenfisch Ringe (paniert),Vòng mực tẩm bột,Tintenfisch,500g-Pack,11.90,Pazifik,Weichtiere,Frittier-fertig
TT-OCT-ARM-300,Oktopus Arme (gekocht),Chân bạch tuộc (luộc),Oktopus,300g-Pack,16.90,Spanien,Weichtiere,Mediterran Style
TT-SCL-U10-500,Jakobsmuscheln U/10 (frisch),Sò điệp U/10 (tươi),Jakobsmuscheln,500g-Pack,28.90,Frankreich,Weichtiere,Premium Sashimi
TT-SCL-1015-250,Jakobsmuscheln 10/15,Sò điệp 10/15,Jakobsmuscheln,250g-Pack,18.90,Nordsee,Weichtiere,Standard Qualität
TT-MUS-BL-1kg,Miesmuscheln (lebend),Trai xanh (sống),Muscheln,1kg-Netz,4.90,Nordsee,Weichtiere,Frisch vom Kutter
TT-OYS-FIN-12,Austern Fines de Claire,Hàu Fines de Claire,Austern,12 Stück,24.90,Frankreich,Weichtiere,Premium Austern
TT-CRA-BRO-500,Flusskrebse (gekocht),Tôm càng xanh (luộc),Flusskrebse,500g-Pack,19.90,Schweden,Krebstiere,Skandinavische Delikatesse
TT-LOB-CAN-400,Hummer Kanadisch (lebend),Tôm hùm Canada (sống),Hummer,400-500g,35.90,Kanada,Krebstiere,Lebend-Transport
TT-CRA-SN-300,Schneekrabben Beine,Chân cua tuyết,Krabben,300g-Pack,22.90,Alaska,Krebstiere,Premium Krabbenfleisch
TT-HAL-FI-001,Heilbutt Filet (wild),Phi-lê cá bơn (tự nhiên),Heilbutt,kg,32.90,Norwegen,Fisch,Wild gefangen Premium
TT-MON-FI-001,Seeteufel Filet,Phi-lê cá cần câu,Seeteufel,kg,26.90,Atlantik,Fisch,Fester Fisch für Wok
TT-RED-FI-001,Rotbarsch Filet,Phi-lê cá hồng,Rotbarsch,kg,16.90,Island,Fisch,Mild im Geschmack
TT-MAC-WH-001,Makrele (ganz),Cá thu nguyên con,Makrele,kg,8.90,Nordsee,Fisch,Omega-3 reich
TT-SAR-WH-001,Sardinen (frisch),Cá mòi tươi,Sardinen,kg,6.90,Portugal,Fisch,Mediterrane Spezialität
TT-ANC-FI-100,Sardellen Filets (in Öl),Phi-lê cá cơm (ngâm dầu),Sardellen,100g-Glas,4.90,Spanien,Fisch,Intensiver Geschmack
